#query	COG_category	Description	Preferred_name	GOs	KEGG_ko	KEGG_Pathway	KEGG_Module	PFAMs
NODE_2470_length_621_cov_1.198529_1	S	source UniProtKB						Peptidase_C48,Transposase_24
NODE_2480_length_614_cov_0.628676_1	D	Belongs to the helicase family						Helitron_like_N,Herpes_Helicase,PIF1
NODE_2482_length_621_cov_0.481618_1	D	Belongs to the helicase family						Helitron_like_N,Herpes_Helicase,PIF1
NODE_2493_length_619_cov_0.673432_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_2518_length_616_cov_0.894249_1	O	DNA RNA polymerases superfamily protein						RVT_1,Retrotrans_gag,zf-CCHC
NODE_2527_length_616_cov_0.547310_1	T	Disease resistance protein		GO:0005575,GO:0005623,GO:0005886,GO:0006950,GO:0006952,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0016020,GO:0023052,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071944				LRR_8,NB-ARC
NODE_2529_length_615_cov_0.882900_1	L	transposition, RNA-mediated						Asp_protease_2
NODE_2531_length_614_cov_0.743017_1	L	Mitochondrial protein						RVT_2,Retrotran_gag_2,Retrotran_gag_3,Retrotrans_gag,gag_pre-integrs,rve,zf-CCHC
NODE_2536_length_613_cov_0.843284_1	I	3-ketoacyl-coa synthase		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006950,GO:0008150,GO:0009266,GO:0009314,GO:0009409,GO:0009416,GO:0009628,GO:0012505,GO:0016020,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0080167	ko:K15397	ko00062,ko01110,map00062,map01110	M00415	ACP_syn_III_C,FAE1_CUT1_RppA
NODE_2548_length_612_cov_0.570093_1	S	zinc-binding in reverse transcriptase						zf-RVT
NODE_2553_length_611_cov_0.666667_1	C	snf1-related protein kinase regulatory subunit						CBS
NODE_2559_length_610_cov_0.750469_1	S	Orf147a protein						zf-RVT
NODE_2563_length_610_cov_0.587242_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_2567_length_609_cov_2.077068_1	E	Ribonuclease H protein			ko:K01408,ko:K10798	ko03410,ko04210,ko04212,ko04214,ko04217,ko05010,map03410,map04210,map04212,map04214,map04217,map05010	M00296	Exo_endo_phos_2,RVT_1,RVT_3,zf-RVT
NODE_2568_length_609_cov_1.259398_1	S	Protein FAR1-RELATED SEQUENCE						COMM_domain,FAR1,MULE,SWIM
NODE_2576_length_608_cov_1.082863_1	S	PB1 domain			ko:K17604			DBD_Tnp_Mut,MULE,PB1,SWIM
NODE_2578_length_608_cov_0.949153_1	O	Belongs to the peptidase S10 family		GO:0003674,GO:0003824,GO:0004180,GO:0004185,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005829,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0008238,GO:0009056,GO:0009057,GO:0009987,GO:0016787,GO:0017171,GO:0019538,GO:0030163,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0051603,GO:0070008,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575	ko:K16298			Peptidase_S10
NODE_2583_length_608_cov_0.679849_1	L	8-hydroxy-dADP phosphatase activity						Retrotrans_gag
NODE_2591_length_607_cov_0.792453_1	KLT	protein serine/threonine kinase activity		GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004675,GO:0004888,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019199,GO:0019538,GO:0023052,GO:0036211,GO:0038023,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0060089,GO:0065007,GO:0071704,GO:0071944,GO:0140096,GO:1901564	ko:K04733	ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164	M00686	Pkinase,Pkinase_Tyr
NODE_2595_length_607_cov_0.637736_1	S	Reverse transcriptase-like						RVT_3,zf-RVT
NODE_2600_length_606_cov_0.835539_1	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_2612_length_600_cov_0.537879_1	S	Reverse transcriptase-like						RVT_3,zf-RVT
NODE_2616_length_604_cov_1.222011_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_2617_length_604_cov_0.992410_1	D	Belongs to the helicase family			ko:K15255			Helitron_like_N,PIF1
NODE_2621_length_604_cov_0.527514_1	L	Uncharacterized protein K02A2.6-like		GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576				RVT_1,RVT_3,rve
NODE_2627_length_602_cov_0.630476_1	K	ANAC050 no apical meristem (NAM) family protein						NAM
NODE_2628_length_602_cov_0.617143_2	S	ribonuclease H protein						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_2633_length_601_cov_0.912214_1	C	Proton-conducting membrane transporter	nad4	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0016020,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464	ko:K03881	ko00190,ko01100,ko04714,ko04723,ko05012,map00190,map01100,map04714,map04723,map05012	M00142	Proton_antipo_M
NODE_2635_length_601_cov_0.618321_2	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_2639_length_600_cov_0.810707_1	L	Uncharacterized protein K02A2.6-like		GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576				RVT_1,RVT_3,rve
NODE_2645_length_600_cov_0.606119_1	U	Beach domain-containing protein		GO:0005575,GO:0005623,GO:0005911,GO:0009506,GO:0012505,GO:0030054,GO:0044464,GO:0055044				Beach,DUF4704,PH_BEACH,WD40
NODE_2650_length_599_cov_21.697318_1	L	transposition, RNA-mediated						Asp_protease_2,RVT_1,Retrotrans_gag,rve
NODE_2654_length_599_cov_0.844828_2	D	Belongs to the helicase family						Helitron_like_N,Herpes_Helicase,PIF1
NODE_2655_length_599_cov_0.775862_1								DBD_Tnp_Mut,MULE,SWIM
NODE_2658_length_598_cov_14.255278_1	J	transposition, RNA-mediated						Asp_protease_2,Retrotrans_gag
NODE_2666_length_597_cov_16.575000_1	A	ATP-dependent RNA helicase	DHX35	GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005737,GO:0005829,GO:0005911,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0008380,GO:0009506,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030054,GO:0032991,GO:0034641,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0055044,GO:0070035,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:1901360,GO:1901363,GO:1990904	ko:K13117		M00355	AAA_22,HA2,Helicase_C,OB_NTP_bind
NODE_2671_length_596_cov_0.784615_1	S	Domain of unknown function (DUF4216)						DUF4216,DUF4218
NODE_2672_length_597_cov_0.761538_1	E	Ribonuclease H protein						RVT_1
NODE_2677_length_596_cov_1.057803_1	D	Structural maintenance of chromosomes protein		GO:0000793,GO:0000819,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0008150,GO:0008278,GO:0009507,GO:0009536,GO:0009987,GO:0016043,GO:0022402,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044427,GO:0044444,GO:0044446,GO:0044464,GO:0051276,GO:0071840,GO:0098813	ko:K06636	ko04110,ko04111,ko04113,ko04114,map04110,map04111,map04113,map04114		SMC_N,SMC_hinge
NODE_2678_length_596_cov_1.052023_1	E	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family	PGDH	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	ko:K00058	ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230	M00020	2-Hacid_dh,2-Hacid_dh_C,ACT
NODE_2680_length_596_cov_0.842004_1	L	NB-ARC domain						NB-ARC,RVT_2,TIR
NODE_2690_length_595_cov_1.204633_1	S	transposon protein						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_2694_length_595_cov_0.619691_1	L	ribonuclease H protein						DUF4283,RVT_1,RVT_3,zf-CCHC_4,zf-RVT
NODE_2698_length_595_cov_0.432432_1	E	Ribonuclease H protein						Exo_endo_phos,Exo_endo_phos_2,RVT_1
NODE_2701_length_594_cov_1.141199_1	Q	cytochrome P450		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0008150,GO:0008152,GO:0009058,GO:0009719,GO:0009725,GO:0009733,GO:0010033,GO:0012505,GO:0016020,GO:0019748,GO:0031090,GO:0031984,GO:0042175,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044550,GO:0050896,GO:0098827	ko:K20562			p450
NODE_2703_length_594_cov_0.854932_1	O	Belongs to the small heat shock protein (HSP20) family		GO:0006950,GO:0006970,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0010035,GO:0010038,GO:0042221,GO:0046686,GO:0050896	ko:K13993	ko04141,map04141		HSP20
NODE_2715_length_593_cov_0.862403_1	S	Domain of unknown function (DUF4216)						DUF4216,DUF4218
NODE_2717_length_593_cov_0.738372_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_2726_length_592_cov_0.636893_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_2731_length_591_cov_0.883268_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_2732_length_591_cov_0.778210_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_2733_length_591_cov_0.766537_1	L	Retrotransposon gag protein						Retrotrans_gag
NODE_2734_length_591_cov_0.752918_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_2743_length_590_cov_0.732943_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-CCHC_4,zf-RVT
NODE_2748_length_590_cov_0.578947_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_2749_length_590_cov_0.571150_1	S	transposon protein						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_2753_length_588_cov_0.759766_1	D	Belongs to the helicase family			ko:K15255			Helitron_like_N,PIF1
NODE_2761_length_588_cov_0.947162_1	S	GRF zinc finger containing protein						zf-GRF
NODE_2768_length_588_cov_0.385519_1	E	Ribonuclease H protein						RVT_3,zf-CCCH
NODE_2772_length_587_cov_0.788235_1	S	pre-mRNA-processing factor		GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005684,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0071007,GO:0071013,GO:1902494,GO:1990904	ko:K12816	ko03040,map03040	M00355	WD40
NODE_2786_length_585_cov_1.090551_1	S	MuDR family transposase						DBD_Tnp_Mut,MULE,SWIM
NODE_2787_length_585_cov_1.005906_1	I	3-hydroxyisobutyryl-CoA hydrolase activity		GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576				Chromo,RVP_2,RVT_1,Retrotrans_gag,rve
NODE_2788_length_585_cov_0.818898_1	S	Zinc knuckle family protein						MP,RVP,zf-CCHC
NODE_2793_length_585_cov_0.535433_1	T	Disease resistance protein		GO:0005575,GO:0005623,GO:0005886,GO:0006950,GO:0006952,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0016020,GO:0023052,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071944				LRR_8,NB-ARC
NODE_2796_length_585_cov_0.368110_1	L	transposition, RNA-mediated						RVT_2,Retrotrans_gag
NODE_2802_length_584_cov_0.735700_1	S	U11 U12 small nuclear ribonucleoprotein 48 kDa			ko:K13156			zf-U11-48K
NODE_2803_length_584_cov_0.725838_1	S	ribonuclease H protein			ko:K08504	ko04130,map04130		DUF4283,Exo_endo_phos,RVT_1,zf-RVT
NODE_2811_length_583_cov_0.901186_1	S	Leucine Rich Repeat						LRRNT_2,LRR_1,LRR_4,LRR_6,LRR_8
NODE_2812_length_583_cov_0.798419_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_2814_length_583_cov_0.788538_1	S	Reverse transcriptase-like						RVT_3,zf-RVT
NODE_2815_length_583_cov_0.719368_1	S	Transposase family tnp2	THOC7	GO:0000346,GO:0000347,GO:0000445,GO:0000781,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006397,GO:0006403,GO:0006405,GO:0006406,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006950,GO:0008104,GO:0008150,GO:0008152,GO:0008283,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010467,GO:0015031,GO:0015833,GO:0015931,GO:0016070,GO:0016071,GO:0016604,GO:0016607,GO:0031123,GO:0031124,GO:0031503,GO:0031974,GO:0031981,GO:0031990,GO:0032991,GO:0033036,GO:0033554,GO:0034605,GO:0034613,GO:0034641,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044403,GO:0044417,GO:0044419,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044766,GO:0045184,GO:0046483,GO:0046784,GO:0046907,GO:0050657,GO:0050658,GO:0050896,GO:0051028,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051641,GO:0051649,GO:0051701,GO:0051704,GO:0051716,GO:0051836,GO:0070013,GO:0070727,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0090304,GO:0098687,GO:1901360,GO:1902579	ko:K13176	ko03013,map03013	M00405,M00406	THOC7
NODE_2820_length_582_cov_0.863366_1	K	wuschel-related homeobox						Homeobox
NODE_2822_length_582_cov_0.756436_1								DBD_Tnp_Mut,MULE,SWIM
NODE_2826_length_582_cov_0.635644_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_2833_length_581_cov_1.408730_1	C	cytochrome c oxidase subunit 3	cox3		ko:K02262	ko00190,ko01100,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04260,map04714,map04932,map05010,map05012,map05016	M00154	COX3
NODE_2847_length_580_cov_0.524851_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-CCHC_4,zf-RVT
NODE_2856_length_574_cov_0.694611_1	A	pentatricopeptide repeat-containing protein At5g04810		GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009507,GO:0009536,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363				PPR,PPR_1,PPR_2,PPR_3,RRM_1
NODE_2860_length_578_cov_0.556886_1	L	strictosidine synthase activity						Asp_protease_2,RVT_1,Retrotrans_gag,rve
NODE_2872_length_576_cov_1.212425_1	L	Uncharacterized protein K02A2.6-like		GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576				RVT_1,RVT_3,rve
NODE_2873_length_576_cov_1.054108_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,rve
NODE_2879_length_576_cov_0.709419_1	L	Uncharacterized protein K02A2.6-like		GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576				RVT_1,RVT_3,rve
NODE_2879_length_576_cov_0.709419_2	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_2884_length_557_cov_0.941767_1	S	Myb/SANT-like DNA-binding domain						Myb_DNA-bind_3
NODE_2900_length_574_cov_0.577465_1	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_2902_length_573_cov_0.820565_1	L	DNA recombination			ko:K07466	ko03030,ko03420,ko03430,ko03440,ko03460,map03030,map03420,map03430,map03440,map03460	M00288	DUF223,Rep_fac-A_C
NODE_2904_length_573_cov_0.733871_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_2909_length_572_cov_17.369697_1	L	transposition, RNA-mediated						RVT_1,Retrotrans_gag,rve
NODE_2913_length_572_cov_0.965657_1	K	Nascent polypeptide-associated complex subunit alpha-like protein			ko:K03626			NAC
NODE_2921_length_572_cov_0.416162_1	T	ATPase activity, coupled to transmembrane movement of substances			ko:K01051	ko00040,ko01100,map00040,map01100	M00081	DUF4283,Exo_endo_phos,RVT_1,zf-RVT
NODE_2933_length_570_cov_0.855984_1	G	beta-galactosidase	BGAL8	GO:0003674,GO:0003824,GO:0004553,GO:0004565,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0015925,GO:0016787,GO:0016798,GO:0030312,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0071944				Gal_Lectin,Glyco_hydro_35
NODE_2935_length_570_cov_0.667343_1	G	transferase activity, transferring hexosyl groups						
NODE_2949_length_568_cov_0.837067_1	S	A Receptor for Ubiquitination Targets						F-box,FBA_3
NODE_2953_length_568_cov_0.651731_1	T	Belongs to the protein kinase superfamily. Ser Thr protein kinase family		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944				LRRNT_2,LRR_1,LRR_8,Pkinase,Pkinase_Tyr
NODE_2966_length_567_cov_0.516327_1	S	Protein FAR1-RELATED SEQUENCE 5-like			ko:K17604			FAR1,MULE,SWIM
NODE_2970_length_566_cov_1.141104_1	S	source UniProtKB						Peptidase_C48,Transposase_24
NODE_2973_length_566_cov_0.828221_1	S	source UniProtKB						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_2975_length_566_cov_0.621677_1	E	Uncharacterized protein K02A2.6-like						G-patch,RVT_1,RVT_3,Retrotrans_gag,rve
NODE_2981_length_565_cov_0.774590_1	L	Mitochondrial protein			ko:K13459	ko04626,map04626		RVT_2,Retrotran_gag_2
NODE_2985_length_565_cov_0.526639_1	S	Domain of unknown function (DUF4283)						DUF4283,zf-CCHC_4
NODE_2996_length_564_cov_0.552361_1	S	Domain of unknown function (DUF4283)						DUF4283
NODE_2998_length_563_cov_0.761317_1	E	Ribonuclease H protein			ko:K12598	ko03018,map03018	M00393	RVT_1
NODE_3005_length_562_cov_1.063918_1	S	Domain of unknown function (DUF4283)						DUF4283
NODE_3015_length_561_cov_0.706612_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_3022_length_561_cov_0.588843_1	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag
NODE_3023_length_561_cov_0.559917_1	S	Endosomal targeting BRO1-like domain-containing protein						BRO1
NODE_3029_length_560_cov_0.795031_1	L	G-quadruplex DNA unwinding			ko:K15255			Helitron_like_N,Herpes_Helicase,PIF1
NODE_3032_length_560_cov_0.706004_1	E	Ribonuclease H protein						
NODE_3033_length_560_cov_0.691511_2	S	Orf147a protein						zf-RVT
NODE_3035_length_560_cov_0.635611_1	S	protein FAR1-RELATED SEQUENCE						MULE
NODE_3037_length_560_cov_0.476190_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_3046_length_558_cov_0.569647_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_3054_length_557_cov_0.816667_1	A	E3 ubiquitin ligase SUD1			ko:K10661	ko04141,map04141		RINGv
NODE_3059_length_557_cov_0.535417_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_3072_length_556_cov_0.490605_1	S	Reverse transcriptase (RNA-dependent DNA polymerase)						DUF4283,RVT_1,RVT_3,zf-RVT
NODE_3073_length_556_cov_0.461378_1	L	transposition, RNA-mediated						Retrotrans_gag
NODE_3092_length_554_cov_0.870021_1	I	3-ketoacyl-coa synthase		GO:0006950,GO:0008150,GO:0009266,GO:0009314,GO:0009409,GO:0009416,GO:0009628,GO:0050896	ko:K15397	ko00062,ko01110,map00062,map01110	M00415	ACP_syn_III_C,FAE1_CUT1_RppA
NODE_3093_length_554_cov_0.832285_1	K	Domain of unknown function (DUF4283)						DUF4283,zf-CCHC_4
