#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NODE_1513_length_803_cov_0.694215_1	3694.POPTR_0007s15440.1	2.33E-56	201	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta,4JJZN@91835|fabids"	35493|Streptophyta	S	Reverse transcriptase (RNA-dependent DNA polymerase)	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4283,RVT_1,RVT_3,zf-RVT"
NODE_1519_length_800_cov_0.727901_1	3694.POPTR_0018s01340.1	2.87E-07	55.5	"COG0021@1|root,KOG0523@2759|Eukaryota,37HR5@33090|Viridiplantae,3GAC0@35493|Streptophyta,4JMS8@91835|fabids"	35493|Streptophyta	G	1-deoxy-D-xylulose-5-phosphate synthase	DXPS3	-	2.2.1.7	ko:K01662	"ko00730,ko00900,ko01100,ko01110,ko01130,map00730,map00900,map01100,map01110,map01130"	M00096	R05636	RC00032	"ko00000,ko00001,ko00002,ko01000"	-	-	-	"DXP_synthase_N,Transket_pyr,Transketolase_C"
NODE_1521_length_800_cov_39.385892_1	57918.XP_004295618.1	2.80E-79	255	"COG2801@1|root,KOG0017@2759|Eukaryota,37RKH@33090|Viridiplantae"	33090|Viridiplantae	J	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	"Asp_protease_2,Retrotrans_gag"
NODE_1522_length_800_cov_1.372061_1	102107.XP_008234114.1	1.59E-54	196	"COG2801@1|root,KOG0017@2759|Eukaryota,37VST@33090|Viridiplantae"	33090|Viridiplantae	L	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	"Asp_protease_2,Retrotrans_gag"
NODE_1524_length_800_cov_1.113416_1	161934.XP_010681215.1	7.51E-15	80.1	"2CN5X@1|root,2QU1T@2759|Eukaryota,37T40@33090|Viridiplantae,3GGBN@35493|Streptophyta"	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"DBD_Tnp_Mut,MULE,SWIM"
NODE_1535_length_795_cov_0.701950_1	4558.Sb01g049735.1	9.34E-07	53.5	"2CVBG@1|root,2RRPZ@2759|Eukaryota,3840S@33090|Viridiplantae,3GWF0@35493|Streptophyta,3M5JX@4447|Liliopsida,3INDF@38820|Poales"	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4216,Transposase_23,Transposase_24"
NODE_1543_length_792_cov_0.813986_1	3760.EMJ14455	7.41E-25	110	"COG2801@1|root,KOG0017@2759|Eukaryota,380K5@33090|Viridiplantae,3GQCS@35493|Streptophyta"	35493|Streptophyta	L	Retrotransposon gag protein	-	-	-	-	-	-	-	-	-	-	-	-	Retrotrans_gag
NODE_1546_length_791_cov_1.442577_1	218851.Aquca_007_00758.1	9.37E-53	188	"COG0507@1|root,KOG0987@2759|Eukaryota,37Q72@33090|Viridiplantae,3GCCF@35493|Streptophyta"	35493|Streptophyta	D	Belongs to the helicase family	-	-	3.6.4.12	"ko:K07466,ko:K15255"	"ko03030,ko03420,ko03430,ko03440,ko03460,map03030,map03420,map03430,map03440,map03460"	M00288	-	-	"ko00000,ko00001,ko00002,ko01000,ko03000,ko03029,ko03032,ko03400"	-	-	-	"Helitron_like_N,Herpes_Helicase,PIF1"
NODE_1553_length_790_cov_0.762973_1	218851.Aquca_125_00012.1	8.50E-61	206	"COG0480@1|root,KOG0469@2759|Eukaryota,37P17@33090|Viridiplantae,3GE6J@35493|Streptophyta"	35493|Streptophyta	J	Elongation factor	-	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	-	ko:K03234	"ko04152,ko04921,map04152,map04921"	-	-	-	"ko00000,ko00001,ko03012,ko04147"	-	-	-	"EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2"
NODE_1559_length_789_cov_0.633427_1	3750.XP_008357937.1	3.71E-40	151	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta"	35493|Streptophyta	L	ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,zf-RVT"
NODE_1566_length_787_cov_1.218310_1	57918.XP_004309110.1	2.51E-18	90.1	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta"	35493|Streptophyta	L	ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,zf-RVT"
NODE_1572_length_785_cov_1.915254_1	4558.Sb02g015861.1	1.12E-10	66.2	"COG2801@1|root,KOG0017@2759|Eukaryota,37XFT@33090|Viridiplantae,3GNEX@35493|Streptophyta,3MB5I@4447|Liliopsida,3IUQS@38820|Poales"	35493|Streptophyta	L	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	"Asp_protease_2,Retrotrans_gag"
NODE_1578_length_783_cov_0.525496_1	3694.POPTR_0013s10860.1	4.91E-28	116	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TEA@33090|Viridiplantae"	33090|Viridiplantae	T	"ATPase activity, coupled to transmembrane movement of substances"	-	-	3.1.1.11	ko:K01051	"ko00040,ko01100,map00040,map01100"	M00081	R02362	"RC00460,RC00461"	"ko00000,ko00001,ko00002,ko01000"	-	-	-	"DUF4283,Exo_endo_phos,RVT_1,zf-RVT"
NODE_1582_length_781_cov_0.734375_1	3760.EMJ13892	3.57E-36	131	"2E57Y@1|root,2SC27@2759|Eukaryota,37Y9K@33090|Viridiplantae,3GHQI@35493|Streptophyta"	35493|Streptophyta	S	Protein FAR1-RELATED SEQUENCE 5-like	-	-	-	ko:K17604	-	-	-	-	"ko00000,ko01009"	-	-	-	"FAR1,MULE,SWIM"
NODE_1583_length_781_cov_0.640625_1	57918.XP_004309110.1	8.75E-24	105	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta"	35493|Streptophyta	L	ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,zf-RVT"
NODE_1584_length_781_cov_0.487216_1	102107.XP_008245249.1	2.37E-05	49.3	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta"	35493|Streptophyta	L	ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4283,RVT_1,RVT_3,zf-CCHC_4,zf-RVT"
NODE_1584_length_781_cov_0.487216_2	3750.XP_008351113.1	5.52E-08	57.8	"KOG1075@1|root,KOG1075@2759|Eukaryota"	2759|Eukaryota	E	Ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,zf-RVT"
NODE_1585_length_780_cov_0.731152_1	218851.Aquca_061_00095.1	2.61E-66	229	"COG0507@1|root,KOG0987@2759|Eukaryota,37I5H@33090|Viridiplantae,3GC0A@35493|Streptophyta"	35493|Streptophyta	D	Belongs to the helicase family	-	-	3.6.4.12	ko:K15255	-	-	-	-	"ko00000,ko01000,ko03029,ko03032"	-	-	-	"Helitron_like_N,PIF1"
NODE_1591_length_777_cov_1.231429_2	161934.XP_010675123.1	1.47E-15	79.7	"COG2801@1|root,KOG0017@2759|Eukaryota,37V0Y@33090|Viridiplantae,3GIY6@35493|Streptophyta"	35493|Streptophyta	L	gag-polypeptide of LTR copia-type	-	-	-	-	-	-	-	-	-	-	-	-	Retrotran_gag_2
NODE_1599_length_775_cov_0.733524_1	4432.XP_010268332.1	3.31E-25	103	"KOG1075@1|root,KOG1075@2759|Eukaryota"	2759|Eukaryota	E	Ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	zf-RVT
NODE_1604_length_774_cov_0.560976_1	161934.XP_010666518.1	1.89E-38	140	"KOG1075@1|root,KOG1075@2759|Eukaryota,3874R@33090|Viridiplantae,3GR28@35493|Streptophyta"	35493|Streptophyta	S	Ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_1617_length_765_cov_0.387608_1	4098.XP_009625948.1	4.18E-09	61.2	"KOG1075@1|root,KOG1075@2759|Eukaryota"	2759|Eukaryota	E	Ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	RVT_3
NODE_1618_length_770_cov_26.746032_1	57918.XP_004295618.1	5.49E-52	183	"COG2801@1|root,KOG0017@2759|Eukaryota,37RKH@33090|Viridiplantae"	33090|Viridiplantae	J	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	"Asp_protease_2,Retrotrans_gag"
NODE_1619_length_770_cov_15.037518_1	2711.XP_006493043.1	0.000302	49.7	"COG2801@1|root,KOG0017@2759|Eukaryota,37RKH@33090|Viridiplantae,3GGZK@35493|Streptophyta"	35493|Streptophyta	L	strictosidine synthase activity	-	-	-	-	-	-	-	-	-	-	-	-	"Retrotrans_gag,rve"
NODE_1633_length_766_cov_1.284470_1	3827.XP_004488219.1	2.03E-53	191	"28PWY@1|root,2QWJJ@2759|Eukaryota,37NQA@33090|Viridiplantae,3G852@35493|Streptophyta,4JRXS@91835|fabids"	35493|Streptophyta	S	Transposase family tnp2	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4216,DUF4218,Transpos_assoc,Transposase_21"
NODE_1639_length_765_cov_0.793605_1	218851.Aquca_003_00332.1	2.49E-23	101	"2CMGX@1|root,2QQB8@2759|Eukaryota,37REV@33090|Viridiplantae,3GFBZ@35493|Streptophyta"	35493|Streptophyta	S	protein FAR1-RELATED SEQUENCE	-	-	-	-	-	-	-	-	-	-	-	-	"FAR1,MULE"
NODE_1642_length_764_cov_2.352256_1	50452.A0A087HG46	1.26E-64	223	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta"	35493|Streptophyta	E	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_1646_length_764_cov_0.375546_1	4432.XP_010247172.1	8.95E-05	50.1	"COG2801@1|root,KOG0017@2759|Eukaryota,37ZRG@33090|Viridiplantae,3GPJI@35493|Streptophyta"	35493|Streptophyta	L	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	Retrotrans_gag
NODE_1647_length_763_cov_0.655977_2	218851.Aquca_034_00353.1	1.05E-39	152	"KOG0167@1|root,KOG0167@2759|Eukaryota,37R0S@33090|Viridiplantae,3G8Z3@35493|Streptophyta"	35493|Streptophyta	S	RING-type E3 ubiquitin transferase	-	"GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464"	-	ko:K08332	-	-	-	-	"ko00000,ko03029,ko04131"	-	-	-	"Arm,U-box"
NODE_1652_length_762_cov_0.675912_1	90675.XP_010490399.1	1.91E-28	118	"COG2801@1|root,KOG0017@2759|Eukaryota,37RKH@33090|Viridiplantae,3GGZK@35493|Streptophyta,3HZ1D@3699|Brassicales"	35493|Streptophyta	L	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_1653_length_761_cov_1.521930_1	3649.evm.model.supercontig_21.40	4.12E-26	110	"COG5052@1|root,KOG1075@1|root,KOG1075@2759|Eukaryota,KOG1725@2759|Eukaryota,37HNK@33090|Viridiplantae,3GCDW@35493|Streptophyta"	35493|Streptophyta	U	"TB2/DP1, HVA22 family"	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_3,TB2_DP1_HVA22,zf-met"
NODE_1655_length_761_cov_1.035088_1	161934.XP_010696572.1	3.99E-20	91.7	"KOG1075@1|root,KOG1075@2759|Eukaryota,38276@33090|Viridiplantae"	33090|Viridiplantae	S	zinc-binding in reverse transcriptase	-	-	-	-	-	-	-	-	-	-	-	-	zf-RVT
NODE_1657_length_761_cov_0.738304_1	4096.XP_009759348.1	1.74E-24	105	"2CN5X@1|root,2QU1T@2759|Eukaryota,37T40@33090|Viridiplantae,3GGBN@35493|Streptophyta"	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"DBD_Tnp_Mut,MULE,SWIM"
NODE_1659_length_761_cov_0.486842_1	3694.POPTR_0008s00220.1	1.77E-23	101	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta,4JJZN@91835|fabids"	35493|Streptophyta	S	Reverse transcriptase (RNA-dependent DNA polymerase)	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4283,RVT_1,RVT_3,zf-RVT"
NODE_1666_length_759_cov_0.524927_1	90675.XP_010412811.1	1.81E-66	228	"COG1185@1|root,COG2801@1|root,KOG0017@2759|Eukaryota,KOG1520@2759|Eukaryota,37RKH@33090|Viridiplantae,3GGZK@35493|Streptophyta,3HZ1D@3699|Brassicales"	35493|Streptophyta	L	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_1668_length_758_cov_0.991189_2	218851.Aquca_058_00057.1	1.79E-67	212	"COG0256@1|root,KOG0875@2759|Eukaryota,37I7K@33090|Viridiplantae,3GDA6@35493|Streptophyta"	35493|Streptophyta	J	60S ribosomal Protein	-	"GO:0000027,GO:0003002,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005773,GO:0005829,GO:0005840,GO:0005844,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0006810,GO:0006913,GO:0006996,GO:0007275,GO:0007389,GO:0008097,GO:0008150,GO:0008152,GO:0008283,GO:0009058,GO:0009059,GO:0009507,GO:0009536,GO:0009653,GO:0009719,GO:0009725,GO:0009735,GO:0009955,GO:0009965,GO:0009987,GO:0010015,GO:0010016,GO:0010033,GO:0010467,GO:0015934,GO:0016020,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022622,GO:0022625,GO:0022626,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042221,GO:0042254,GO:0042255,GO:0042273,GO:0042788,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046907,GO:0048364,GO:0048366,GO:0048367,GO:0048731,GO:0048827,GO:0048856,GO:0050896,GO:0051169,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0065003,GO:0070013,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0097159,GO:0099402,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1905392,GO:1990904"	-	"ko:K02932,ko:K03327"	"ko03010,map03010"	M00177	-	-	"br01610,ko00000,ko00001,ko00002,ko01009,ko02000,ko03011"	2.A.66.1	-	-	"Ribosomal_L18_c,Ribosomal_L5e"
NODE_1680_length_756_cov_0.628866_2	218851.Aquca_086_00027.1	1.29E-49	178	"2EW0C@1|root,2SXWT@2759|Eukaryota"	2759|Eukaryota	S	MuDR family transposase	-	-	-	-	-	-	-	-	-	-	-	-	"DBD_Tnp_Mut,MULE,SWIM"
NODE_1681_length_755_cov_1.837758_1	4432.XP_010253168.1	1.04E-61	211	"KOG1121@1|root,KOG1121@2759|Eukaryota,37YRA@33090|Viridiplantae,3GN5C@35493|Streptophyta"	35493|Streptophyta	L	Domain of unknown function (DUF4413)	-	-	3.4.22.68	ko:K08592	-	-	-	-	"ko00000,ko01000,ko01002,ko04121"	-	-	-	"DUF4413,Dimer_Tnp_hAT,GRAS,Peptidase_C48,zf-BED"
NODE_1698_length_751_cov_0.698813_1	218851.Aquca_068_00056.1	3.88E-10	63.2	"COG0531@1|root,KOG1287@2759|Eukaryota,37JZU@33090|Viridiplantae,3GAHX@35493|Streptophyta"	35493|Streptophyta	E	Polyamine transporter	-	"GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015179,GO:0015203,GO:0015291,GO:0015297,GO:0015318,GO:0015711,GO:0015807,GO:0015846,GO:0015849,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098656,GO:1902047,GO:1902475,GO:1903825,GO:1905039"	-	-	-	-	-	-	-	-	-	-	AA_permease_2
NODE_1706_length_749_cov_0.861607_1	2711.XP_006488688.1	2.95E-82	274	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae"	33090|Viridiplantae	E	Uncharacterized protein K02A2.6-like	-	"GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576"	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_1708_length_749_cov_0.778274_1	3694.POPTR_0006s00200.1	2.61E-40	150	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta,4JJZN@91835|fabids"	35493|Streptophyta	S	Reverse transcriptase (RNA-dependent DNA polymerase)	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4283,RVT_1,RVT_3,zf-RVT"
NODE_1709_length_749_cov_0.635417_1	90675.XP_010445598.1	7.49E-36	137	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta"	35493|Streptophyta	L	ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4283,RVT_1,RVT_3,zf-CCHC_4,zf-RVT"
NODE_1715_length_748_cov_1.113264_1	3750.XP_008357937.1	8.99E-28	114	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta"	35493|Streptophyta	L	ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,zf-RVT"
NODE_1719_length_747_cov_1.073134_1	4432.XP_010246722.1	9.47E-58	199	"28PWY@1|root,2QWJJ@2759|Eukaryota,37VSF@33090|Viridiplantae,3GJJD@35493|Streptophyta"	35493|Streptophyta	S	Domain of unknown function (DUF4216)	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4216,DUF4218,Transpos_assoc,Transposase_21"
NODE_1721_length_747_cov_0.838806_1	4113.PGSC0003DMT400080715	3.21E-24	107	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta,44SVG@71274|asterids"	35493|Streptophyta	S	RNase H family protein	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4283,RVT_1,RVT_3,zf-RVT"
NODE_1722_length_747_cov_0.770149_2	2711.XP_006488688.1	5.65E-64	223	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae"	33090|Viridiplantae	E	Uncharacterized protein K02A2.6-like	-	"GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576"	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_1724_length_747_cov_0.622388_1	90675.XP_010431723.1	4.13E-06	53.1	"KOG1075@1|root,KOG1075@2759|Eukaryota"	90675.XP_010431723.1|-	E	Ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_1730_length_746_cov_0.557549_1	28532.XP_010527341.1	1.21E-64	224	"KOG1075@1|root,KOG1075@2759|Eukaryota,387FR@33090|Viridiplantae,3GV0J@35493|Streptophyta,3HWDJ@3699|Brassicales"	2759|Eukaryota	S	BEST Arabidopsis thaliana protein match is	-	-	4.2.2.23	"ko:K14487,ko:K18195"	"ko04075,map04075"	-	-	-	"ko00000,ko00001,ko01000"	-	PL4	-	"DUF4283,RVT_1,zf-CCHC_4,zf-RVT"
NODE_1741_length_743_cov_6.546547_1	3750.XP_008342486.1	4.38E-124	385	"COG2801@1|root,KOG0017@2759|Eukaryota,37RKH@33090|Viridiplantae,3GGZK@35493|Streptophyta,4JT7R@91835|fabids"	35493|Streptophyta	KLT	protein kinase activity	-	-	-	-	-	-	-	-	-	-	-	-	"Asp_protease_2,RVT_1,Retrotrans_gag,rve"
NODE_1748_length_742_cov_0.775940_1	102107.XP_008227611.1	9.05E-73	241	"28HC0@1|root,2QPQD@2759|Eukaryota,37QN4@33090|Viridiplantae,3GHPB@35493|Streptophyta"	35493|Streptophyta	S	Zinc finger MYM-type protein	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4371,Dimer_Tnp_hAT"
NODE_1752_length_741_cov_0.954819_1	2711.XP_006464891.1	3.34E-10	67.8	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae"	33090|Viridiplantae	E	Uncharacterized protein K02A2.6-like	-	"GO:0000943,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003887,GO:0003964,GO:0004518,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006278,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0019538,GO:0032196,GO:0032197,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0140096,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576"	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,Retrotrans_gag,rve"
NODE_1761_length_738_cov_1.099849_1	3880.AES89110	5.18E-70	237	"COG0507@1|root,KOG0987@2759|Eukaryota,37Q72@33090|Viridiplantae,3GCCF@35493|Streptophyta,4JS2N@91835|fabids"	35493|Streptophyta	D	Belongs to the helicase family	-	-	3.6.4.12	"ko:K07466,ko:K15255"	"ko03030,ko03420,ko03430,ko03440,ko03460,map03030,map03420,map03430,map03440,map03460"	M00288	-	-	"ko00000,ko00001,ko00002,ko01000,ko03000,ko03029,ko03032,ko03400"	-	-	-	"Helitron_like_N,Herpes_Helicase,PIF1"
NODE_1766_length_737_cov_0.777273_1	218851.Aquca_003_00496.1	1.21E-24	100	"COG4870@1|root,KOG1543@2759|Eukaryota,37S7C@33090|Viridiplantae,3G8BZ@35493|Streptophyta"	35493|Streptophyta	O	Belongs to the peptidase C1 family	-	"GO:0000323,GO:0003674,GO:0003824,GO:0004175,GO:0004197,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0009056,GO:0009057,GO:0009987,GO:0016787,GO:0019538,GO:0030163,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044421,GO:0044424,GO:0044444,GO:0044464,GO:0051603,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575"	-	ko:K16292	-	-	-	-	"ko00000,ko01000,ko01002"	-	-	-	"Granulin,Inhibitor_I29,Peptidase_C1"
NODE_1769_length_737_cov_0.660606_1	28532.XP_010534752.1	1.70E-50	179	"COG2801@1|root,KOG0017@2759|Eukaryota,37RKH@33090|Viridiplantae,3G8J3@35493|Streptophyta"	35493|Streptophyta	L	"transposition, RNA-mediated"	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,Retrotrans_gag,rve"
NODE_1770_length_741_cov_0.631818_1	3750.XP_008381228.1	4.82E-44	162	"COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta,4JN0G@91835|fabids"	35493|Streptophyta	L	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,RVT_3,rve"
NODE_1772_length_724_cov_0.443939_1	42345.XP_008780427.1	1.72E-28	114	"KOG1075@1|root,KOG1075@2759|Eukaryota"	2759|Eukaryota	E	Ribonuclease H protein	-	-	2.1.1.43	"ko:K09186,ko:K14857"	"ko00310,ko04934,ko05202,map00310,map04934,map05202"	-	"R03875,R03938,R04866,R04867"	"RC00003,RC00060,RC00181,RC00496"	"ko00000,ko00001,ko01000,ko03000,ko03009,ko03036"	-	-	-	"Exo_endo_phos,RVT_1"
NODE_1776_length_735_cov_0.676292_1	4113.PGSC0003DMT400080715	2.61E-10	65.1	"KOG1075@1|root,KOG1075@2759|Eukaryota,37TIF@33090|Viridiplantae,3G9IZ@35493|Streptophyta,44SVG@71274|asterids"	35493|Streptophyta	S	RNase H family protein	-	-	-	-	-	-	-	-	-	-	-	-	"DUF4283,RVT_1,RVT_3,zf-RVT"
